Buy Date,Buy Price,Sell Date,Sell Price,Profit
2020-04-09,1208.49462890625,2020-04-13,1177.98388671875,-30.5107421875
2020-04-15,1139.0528564453125,2020-04-16,1157.08203125,18.0291748046875
2020-04-17,1212.506591796875,2020-04-20,1232.1207275390625,19.6141357421875
2020-04-21,1225.7313232421875,2020-05-14,1435.949951171875,210.2186279296875
2020-06-04,1579.800048828125,2020-08-03,2009.0,429.199951171875
2020-09-18,2305.699951171875,2020-09-21,2255.85009765625,-49.849853515625
2020-10-14,2287.5,2020-10-15,2206.5,-81.0
2020-12-09,2026.949951171875,2020-12-10,2007.0,-19.949951171875
2020-12-18,1991.550048828125,2020-12-21,1939.699951171875,-51.85009765625
2021-01-19,2016.4000244140625,2021-01-20,2054.699951171875,38.2999267578125
2021-01-21,2099.39990234375,2021-01-25,1941.0,-158.39990234375
2021-02-15,2032.5999755859375,2021-02-22,2008.0999755859375,-24.5
2021-02-24,2061.0,2021-03-12,2137.60009765625,76.60009765625
2021-05-19,1997.050048828125,2021-05-20,1985.4000244140625,-11.6500244140625
2021-05-21,2002.550048828125,2021-05-24,1985.6500244140625,-16.9000244140625
2021-05-28,2094.800048828125,2021-06-22,2225.75,130.949951171875
2021-08-11,2117.300048828125,2021-08-12,2110.5,-6.800048828125
2021-08-13,2145.64990234375,2021-08-16,2173.5,27.85009765625
2021-08-17,2164.25,2021-10-21,2622.5,458.25
2022-01-04,2458.10009765625,2022-01-05,2469.60009765625,11.5
2022-01-07,2436.0,2022-01-10,2438.0,2.0
2022-01-11,2455.550048828125,2022-01-20,2477.449951171875,21.89990234375
2022-03-22,2531.14990234375,2022-04-07,2572.85009765625,41.7001953125
2022-04-21,2782.10009765625,2022-05-04,2693.64990234375,-88.4501953125
2022-06-02,2724.300048828125,2022-06-13,2662.89990234375,-61.400146484375
2022-08-01,2574.85009765625,2022-08-02,2584.64990234375,9.7998046875
2022-08-03,2606.35009765625,2022-08-22,2606.60009765625,0.25
2022-08-23,2646.800048828125,2022-08-25,2632.050048828125,-14.75
2022-10-24,2479.85009765625,2022-10-25,2441.550048828125,-38.300048828125
2022-10-27,2451.14990234375,2022-10-28,2526.14990234375,75.0
2022-10-31,2549.60009765625,2022-11-21,2550.89990234375,1.2998046875
2022-11-28,2707.550048828125,2022-12-06,2690.199951171875,-17.35009765625
2023-04-17,2367.449951171875,2023-05-16,2453.800048828125,86.35009765625
2023-05-29,2520.60009765625,2023-05-31,2469.89990234375,-50.7001953125
2023-06-14,2551.85009765625,2023-06-22,2535.5,-16.35009765625
2023-07-03,2615.699951171875,2023-07-20,2619.85009765625,4.150146484375
2023-11-15,2356.449951171875,2023-11-16,2360.699951171875,4.25
2023-11-17,2355.550048828125,2023-11-20,2349.35009765625,-6.199951171875
