Buy Date,Buy Price,Sell Date,Sell Price,Profit
2020-02-20,327.6499938964844,2020-02-24,322.95001220703125,-4.699981689453125
2020-02-25,326.79998779296875,2020-02-27,321.95001220703125,-4.8499755859375
2020-06-08,186.8000030517578,2020-06-09,184.4499969482422,-2.350006103515625
2020-06-10,187.6999969482422,2020-06-15,173.6999969482422,-14.0
2020-06-19,184.5,2020-06-26,184.60000610351562,0.100006103515625
2020-07-06,188.0500030517578,2020-07-14,186.0500030517578,-2.0
2020-07-23,198.25,2020-07-24,191.9499969482422,-6.3000030517578125
2020-08-12,203.3000030517578,2020-08-17,193.10000610351562,-10.199996948242188
2020-08-24,201.4499969482422,2020-09-04,206.60000610351562,5.1500091552734375
2020-10-12,198.6999969482422,2020-10-13,195.6999969482422,-3.0
2020-10-14,200.0500030517578,2020-10-15,192.85000610351562,-7.1999969482421875
2020-10-16,195.9499969482422,2020-10-19,204.0,8.050003051757812
2020-10-20,203.0500030517578,2020-10-26,196.6999969482422,-6.350006103515625
2020-11-03,204.75,2020-11-06,219.1999969482422,14.449996948242188
2020-11-11,234.1999969482422,2020-12-21,254.6999969482422,20.5
2021-01-06,285.04998779296875,2021-01-21,294.8500061035156,9.800018310546875
2021-02-02,333.1000061035156,2021-02-03,335.95001220703125,2.850006103515625
2021-02-10,392.25,2021-02-22,389.5,-2.75
2021-05-05,355.3999938964844,2021-05-06,355.54998779296875,0.149993896484375
2021-05-07,358.25,2021-05-10,361.70001220703125,3.45001220703125
2021-05-11,364.6499938964844,2021-05-12,367.70001220703125,3.050018310546875
2021-05-14,360.45001220703125,2021-06-09,421.45001220703125,61.0
2021-07-29,441.54998779296875,2021-08-06,435.6499938964844,-5.899993896484375
2021-09-14,433.0,2021-09-20,437.45001220703125,4.45001220703125
2021-09-23,449.79998779296875,2021-09-24,440.75,-9.04998779296875
2021-09-27,446.6000061035156,2021-09-28,444.8999938964844,-1.70001220703125
2021-09-29,460.0,2021-11-11,509.6000061035156,49.600006103515625
2022-01-05,492.3999938964844,2022-01-06,491.70001220703125,-0.699981689453125
2022-01-07,491.25,2022-01-10,503.6499938964844,12.399993896484375
2022-01-11,505.95001220703125,2022-01-21,502.70001220703125,-3.25
2022-01-27,528.9500122070312,2022-02-11,529.5999755859375,0.64996337890625
2022-03-23,490.6499938964844,2022-03-24,487.1000061035156,-3.54998779296875
2022-03-25,490.70001220703125,2022-03-28,497.5,6.79998779296875
2022-03-29,495.0,2022-03-30,494.29998779296875,-0.70001220703125
2022-03-31,493.54998779296875,2022-04-18,509.5,15.95001220703125
2022-04-19,511.79998779296875,2022-04-20,509.29998779296875,-2.5
2022-07-04,473.45001220703125,2022-07-05,472.1499938964844,-1.300018310546875
2022-07-06,479.95001220703125,2022-07-15,479.1000061035156,-0.850006103515625
2022-07-18,490.29998779296875,2022-08-08,520.4000244140625,30.10003662109375
2022-09-08,544.6500244140625,2022-09-23,550.5999755859375,5.949951171875
2022-10-25,578.5499877929688,2022-11-14,592.5499877929688,14.0
2022-11-15,600.8499755859375,2022-11-21,598.0999755859375,-2.75
2023-03-03,561.2000122070312,2023-03-06,561.7000122070312,0.5
2023-03-08,564.7999877929688,2023-03-09,558.9000244140625,-5.89996337890625
2023-04-18,545.8499755859375,2023-04-19,540.2999877929688,-5.54998779296875
2023-04-20,544.7999877929688,2023-05-18,574.2000122070312,29.4000244140625
2023-07-07,593.5999755859375,2023-07-14,584.4000244140625,-9.199951171875
2023-07-17,601.0999755859375,2023-08-02,598.4500122070312,-2.64996337890625
2023-09-12,588.3499755859375,2023-09-13,596.4500122070312,8.10003662109375
2023-09-14,597.2999877929688,2023-09-21,588.1500244140625,-9.14996337890625
2023-09-22,598.1500244140625,2023-09-26,594.4000244140625,-3.75
2023-10-03,602.9500122070312,2023-10-04,586.25,-16.70001220703125
2023-11-10,579.5,2023-11-13,581.3499755859375,1.8499755859375
2023-11-15,584.7000122070312,2023-11-16,584.6500244140625,-0.04998779296875
2023-12-04,594.7000122070312,2023-12-05,608.25,13.54998779296875
